date, value
2017/11/15,1.92
2017/11/16,1.89
2017/11/17,1.97
2017/11/20,1.96
2017/11/21,1.93
2017/11/22,1.93
2017/11/24,1.97
2017/11/27,1.97
2017/11/28,1.99
2017/11/29,1.99
2017/11/30,1.99
2017/12/1,2
2017/12/4,1.98
2017/12/5,2.03
2017/12/6,1.98
2017/12/7,2
2017/12/8,2.05
2017/12/11,2
2017/12/12,2
2017/12/13,2.02
2017/12/14,1.98
2017/12/15,1.99
2017/12/18,2.07
2017/12/19,2.08
2017/12/20,2.1
2017/12/21,2.02
2017/12/22,2.06
2017/12/26,2.12
2017/12/27,2.06
2017/12/28,2.06
2017/12/29,2.06
2018/1/2,2.1
2018/1/3,2.09
2018/1/4,2.1
2018/1/5,2.07
2018/1/8,2.13
2018/1/9,2.11
2018/1/10,2.12
2018/1/11,2.11
2018/1/12,2.1
2018/1/16,2.12
2018/1/17,2.18
2018/1/18,2.11
2018/1/19,2.12
2018/1/22,2.12
2018/1/23,2.2
2018/1/24,2.18
2018/1/25,2.23
2018/1/26,2.25
2018/1/29,2.26
2018/1/30,2.23
2018/1/31,2.24
2018/2/1,2.29
2018/2/2,2.35
2018/2/5,2.25
2018/2/6,2.32
2018/2/7,2.3
2018/2/8,2.29
2018/2/9,2.27
2018/2/12,2.3
2018/2/13,2.22
2018/2/14,2.27
2018/2/15,2.22
2018/2/16,2.18
2018/2/20,2.16
2018/2/21,2.18
2018/2/22,2.16
2018/2/23,2.2
2018/2/26,2.19
2018/2/27,2.17
2018/2/28,2.2
2018/3/1,2.17
2018/3/2,2.21
2018/3/5,2.21
2018/3/6,2.14
2018/3/7,2.16
2018/3/8,2.14
2018/3/9,2.28
2018/3/12,2.18
2018/3/13,2.13
2018/3/14,2.1
2018/3/15,2.09
2018/3/16,2.11
2018/3/19,2.12
2018/3/20,2.11
2018/3/21,2.22
2018/3/22,2.13
2018/3/23,2.13
2018/3/26,2.15
2018/3/27,2.2
2018/3/28,2.19
2018/3/29,2.18
2018/4/2,2.11
2018/4/3,2.17
2018/4/4,2.12
2018/4/5,2.23
2018/4/6,2.13
2018/4/9,2.12
2018/4/10,2.16
2018/4/11,2.16
2018/4/12,2.21
2018/4/13,2.25
2018/4/16,2.16
2018/4/17,2.27
2018/4/18,2.28
2018/4/19,2.22
2018/4/20,2.24
2018/4/23,2.25
2018/4/24,2.24
2018/4/25,2.25
2018/4/26,2.26
2018/4/27,2.25
2018/4/30,2.24
2018/5/1,2.23
2018/5/2,2.25
2018/5/3,2.23
2018/5/4,2.23
2018/5/7,2.23
2018/5/8,2.22
2018/5/9,2.23
2018/5/10,2.22
2018/5/11,2.17
2018/5/14,2.18
2018/5/15,2.21
2018/5/16,2.18
2018/5/17,2.16
2018/5/18,2.16
2018/5/21,2.17
2018/5/22,2.17
2018/5/23,2.16
2018/5/24,2.13
2018/5/25,2.14
2018/5/29,2.1
2018/5/30,2.12
2018/5/31,2.11
2018/6/1,2.12
2018/6/4,2.18
2018/6/5,2.21
2018/6/6,2.22
2018/6/7,2.18
2018/6/8,2.16
2018/6/11,2.18
2018/6/12,2.19
2018/6/13,2.15
2018/6/14,2.17
2018/6/15,2.16
2018/6/18,2.16
2018/6/19,2.17
2018/6/20,2.18
2018/6/21,2.17
2018/6/22,2.17
2018/6/25,2.14
2018/6/26,2.17
2018/6/27,2.15
2018/6/28,2.13
2018/6/29,2.16
2018/7/2,2.21
2018/7/3,2.16
2018/7/5,2.16
2018/7/6,2.16
2018/7/9,2.16
2018/7/10,2.17
2018/7/11,2.15
2018/7/12,2.14
2018/7/13,2.15
2018/7/16,2.15
2018/7/17,2.15
2018/7/18,2.15
2018/7/19,2.17
2018/7/20,2.2
2018/7/23,2.21
2018/7/24,2.22
2018/7/25,2.25
2018/7/26,2.22
2018/7/27,2.24
2018/7/30,2.25
2018/7/31,2.24
2018/8/1,2.26
2018/8/2,2.25
2018/8/3,2.24
2018/8/6,2.24
2018/8/7,2.26
2018/8/8,2.24
2018/8/9,2.25
2018/8/10,2.2
2018/8/13,2.21
2018/8/14,2.19
2018/8/15,2.19
2018/8/16,2.19
2018/8/17,2.2
2018/8/20,2.19
2018/8/21,2.19
2018/8/22,2.2
2018/8/23,2.19
2018/8/24,2.19
2018/8/27,2.22
2018/8/28,2.23
2018/8/29,2.24
2018/8/30,2.21
2018/8/31,2.18
2018/9/4,2.21
2018/9/5,2.2
2018/9/6,2.19
2018/9/7,2.22
2018/9/10,2.22
2018/9/11,2.23
2018/9/12,2.22
2018/9/13,2.22
2018/9/14,2.2
2018/9/17,2.21
2018/9/18,2.25
2018/9/19,2.28
2018/9/20,2.28
2018/9/21,2.28
2018/9/24,2.29
2018/9/25,2.27
2018/9/26,2.24
2018/9/27,2.26
2018/9/28,2.25
2018/10/1,2.24
2018/10/2,2.21
2018/10/3,2.25
2018/10/4,2.26
2018/10/5,2.27
2018/10/9,2.29
2018/10/10,2.28
2018/10/11,2.25
2018/10/12,2.25
2018/10/15,2.26
2018/10/16,2.25
2018/10/17,2.26
2018/10/18,2.21
2018/10/19,2.24
2018/10/22,2.24
2018/10/23,2.24
2018/10/24,2.21
2018/10/25,2.19
2018/10/26,2.19
2018/10/29,2.2
2018/10/30,2.19
2018/10/31,2.2
2018/11/1,2.16
2018/11/2,2.21
2018/11/5,2.21
2018/11/6,2.22
2018/11/7,2.21
2018/11/8,2.22
2018/11/9,2.18
2018/11/13,2.16
2018/11/14,2.15
2018/11/15,2.15
2018/11/16,2.16
2018/11/19,2.13
2018/11/20,2.12
2018/11/21,2.13
2018/11/23,2.15
2018/11/26,2.14
2018/11/27,2.09
2018/11/28,2.14
2018/11/29,2.17
2018/11/30,2.17
2018/12/3,2.16
2018/12/4,2.14
2018/12/6,2.11
2018/12/7,2.1
2018/12/10,2.07
2018/12/11,2.04
2018/12/12,2.04
2018/12/13,2.04
2018/12/14,2.04
2018/12/17,2.04
2018/12/18,2.04
2018/12/19,2.04
2018/12/20,1.99
2018/12/21,1.99
2018/12/24,1.98
2018/12/26,1.97
2018/12/27,1.95
2018/12/28,1.94
2018/12/31,1.91
2019/1/2,1.91
2019/1/3,1.87
2019/1/4,1.94
2019/1/7,1.95
2019/1/8,1.98
2019/1/9,1.98
2019/1/10,1.97
2019/1/11,2
2019/1/14,1.98
2019/1/15,1.99
2019/1/16,2
2019/1/17,1.94
2019/1/18,1.99
2019/1/22,1.95
2019/1/23,1.96
2019/1/24,1.92
2019/1/25,1.94
2019/1/28,1.94
2019/1/29,1.94
2019/1/30,2
2019/1/31,2
2019/2/1,2.04
2019/2/4,2.02
2019/2/5,2.02
2019/2/6,2.01
2019/2/7,1.99
2019/2/8,1.95
2019/2/11,1.95
2019/2/12,1.95
2019/2/13,1.96
2019/2/14,1.96
2019/2/15,1.97
2019/2/19,1.98
2019/2/20,1.99
2019/2/21,2.02
2019/2/22,2
2019/2/25,2.02
2019/2/26,2.02
2019/2/27,2.02
2019/2/28,2.06
2019/3/1,2.07
2019/3/4,2.04
2019/3/5,2.03
2019/3/6,2.01
2019/3/7,2
2019/3/8,2
2019/3/11,2
2019/3/12,1.99
2019/3/13,2
2019/3/14,2.03
2019/3/15,2.02
2019/3/18,2.04
2019/3/19,2.05
2019/3/20,2.04
2019/3/21,2.06
2019/3/22,2
2019/3/25,1.99
2019/3/26,1.97
2019/3/27,1.94
2019/3/28,1.94
2019/3/29,1.98
2019/4/1,1.98
2019/4/2,1.99
2019/4/3,2.01
2019/4/4,1.99
2019/4/5,2.01
2019/4/8,2.01
2019/4/9,2.02
2019/4/10,2.05
2019/4/11,2.06
2019/4/12,2.04
2019/4/15,2.03
2019/4/16,2.06
2019/4/17,2.04
2019/4/18,2.04
2019/4/22,2.03
2019/4/23,2.03
2019/4/24,2.05
2019/4/25,2.1
2019/4/26,2.08
2019/4/29,2.06
2019/4/30,2.05
2019/5/1,2.03
2019/5/2,2
2019/5/3,2.02
2019/5/6,2.01
2019/5/7,1.98
2019/5/8,1.99
2019/5/9,1.97
2019/5/10,2.01
2019/5/13,1.97
2019/5/14,1.97
2019/5/15,1.92
2019/5/16,1.93
2019/5/17,1.91
2019/5/20,1.91
2019/5/21,1.94
2019/5/22,1.9
2019/5/23,1.84
2019/5/24,1.9
2019/5/28,1.88
2019/5/29,1.91
2019/5/30,1.89
2019/5/31,1.9
2019/6/3,1.9
2019/6/4,1.89
2019/6/5,1.91
2019/6/6,1.88
2019/6/7,1.87
2019/6/10,1.86
2019/6/11,1.87
2019/6/12,1.89
2019/6/13,1.85
2019/6/14,1.78
2019/6/17,1.77
2019/6/18,1.79
2019/6/19,1.81
2019/6/20,1.9
2019/6/21,1.86
2019/6/24,1.85
2019/6/25,1.82
2019/6/26,1.84
2019/6/27,1.83
2019/6/28,1.85
2019/7/1,1.85
2019/7/2,1.8
2019/7/3,1.79
2019/7/5,1.83
2019/7/8,1.85
2019/7/9,1.86
2019/7/10,1.89
2019/7/11,1.91
2019/7/12,1.92
2019/7/15,1.93
2019/7/16,1.97
2019/7/17,1.9
2019/7/18,1.98
2019/7/19,2
2019/7/22,1.99
2019/7/23,2.01
2019/7/24,1.99
2019/7/25,2
2019/7/26,1.99
2019/7/29,1.97
2019/7/30,1.98
2019/7/31,1.96
2019/8/1,1.93
2019/8/2,1.87
2019/8/5,1.81
2019/8/6,1.84
2019/8/7,1.86
2019/8/8,1.87
2019/8/9,1.88
2019/8/12,1.83
2019/8/13,1.82
2019/8/14,1.78
2019/8/15,1.74
2019/8/16,1.74
2019/8/19,1.76
2019/8/20,1.72
2019/8/21,1.74
2019/8/22,1.75
2019/8/23,1.73
2019/8/26,1.74
2019/8/27,1.74
2019/8/28,1.74
2019/8/29,1.79
2019/8/30,1.75
2019/9/3,1.71
2019/9/4,1.71
2019/9/5,1.77
2019/9/6,1.73
2019/9/9,1.76
2019/9/10,1.8
2019/9/11,1.8
2019/9/12,1.83
2019/9/13,1.88
2019/9/16,1.86
2019/9/17,1.86
2019/9/18,1.78
2019/9/19,1.81
2019/9/20,1.8
2019/9/23,1.8
2019/9/24,1.77
2019/9/25,1.79
2019/9/26,1.74
2019/9/27,1.7
2019/9/30,1.71
2019/10/1,1.71
2019/10/2,1.71
2019/10/3,1.71
2019/10/4,1.73
2019/10/7,1.75
2019/10/8,1.71
2019/10/9,1.74
2019/10/10,1.75
2019/10/11,1.78
2019/10/15,1.79
2019/10/16,1.79
2019/10/17,1.66
2019/10/18,1.68
2019/10/21,1.69
2019/10/22,1.69
2019/10/23,1.7
2019/10/24,1.72
2019/10/25,1.75
2019/10/28,1.75
2019/10/29,1.71
2019/10/30,1.67
2019/10/31,1.64
2019/11/1,1.68
2019/11/4,1.72
2019/11/5,1.78
2019/11/6,1.75
2019/11/7,1.77
2019/11/8,1.79
2019/11/12,1.8
2019/11/13,1.74
2019/11/14,1.7
2019/11/15,1.74
2019/11/18,1.72
2019/11/19,1.73
2019/11/20,1.69
2019/11/21,1.73
2019/11/22,1.71
2019/11/25,1.71
2019/11/26,1.72
2019/11/27,1.72
2019/11/29,1.72
2019/12/2,1.76
2019/12/3,1.75
2019/12/4,1.78
2019/12/5,1.79
2019/12/6,1.79
2019/12/9,1.79
2019/12/10,1.83
2019/12/11,1.78
2019/12/12,1.82
2019/12/13,1.78
2019/12/16,1.82
2019/12/17,1.85
2019/12/18,1.84
2019/12/19,1.86
2019/12/20,1.87
2019/12/23,1.83
2019/12/24,1.83
2019/12/26,1.82
2019/12/27,1.82
2019/12/30,1.84
2019/12/31,1.86
2020/1/2,1.88
2020/1/3,1.85
2020/1/6,1.81
2020/1/7,1.81
2020/1/8,1.82
2020/1/9,1.81
2020/1/10,1.85
2020/1/13,1.84
2020/1/14,1.84
2020/1/15,1.83
2020/1/16,1.8
2020/1/17,1.82
2020/1/21,1.82
2020/1/22,1.8
2020/1/23,1.76
2020/1/24,1.74
2020/1/27,1.7
2020/1/28,1.71
2020/1/29,1.7
2020/1/30,1.69
2020/1/31,1.7
2020/2/3,1.7
2020/2/4,1.7
2020/2/5,1.71
2020/2/6,1.73
2020/2/7,1.71
2020/2/10,1.7
2020/2/11,1.7
2020/2/12,1.68
2020/2/13,1.69
2020/2/14,1.68
2020/2/18,1.66
2020/2/19,1.65
2020/2/20,1.63
2020/2/21,1.62
2020/2/24,1.61
2020/2/25,1.54
2020/2/26,1.58
2020/2/27,1.58
2020/2/28,1.49
2020/3/2,1.5
2020/3/3,1.56
2020/3/4,1.58
2020/3/5,1.52
2020/3/6,1.48
2020/3/9,1.18
2020/3/10,1.23
2020/3/11,1.23
2020/3/12,1.21
2020/3/13,1.27
2020/3/16,1.16
2020/3/17,1.1
2020/3/18,1.1
2020/3/19,0.86
2020/3/20,1.19
2020/3/23,1.23
2020/3/24,1.39
2020/3/25,1.45
2020/3/26,1.42
2020/3/27,1.34
2020/3/30,1.33
2020/3/31,1.25
2020/4/1,1.26
2020/4/2,1.33
2020/4/3,1.38
2020/4/6,1.43
2020/4/7,1.48
2020/4/8,1.51
2020/4/9,1.56
2020/4/13,1.58
2020/4/14,1.64
2020/4/15,1.51
2020/4/16,1.36
2020/4/17,1.35
2020/4/20,1.32
2020/4/21,1.34
2020/4/22,1.43
2020/4/23,1.43
2020/4/24,1.5
2020/4/27,1.56
2020/4/28,1.52
2020/4/29,1.5
2020/4/30,1.42
2020/5/1,1.44
2020/5/4,1.45
2020/5/5,1.49
2020/5/6,1.49
2020/5/7,1.46
2020/5/8,1.5
2020/5/11,1.51
2020/5/12,1.46
2020/5/13,1.43
2020/5/14,1.41
2020/5/15,1.43
2020/5/18,1.5
2020/5/19,1.48
2020/5/20,1.49
2020/5/21,1.47
2020/5/22,1.44
2020/5/26,1.44
2020/5/27,1.46
2020/5/28,1.5
2020/5/29,1.47
